,System Size,Count,MSE,MAE,R²,MAPE
0,2.0,213794,2.3413699e-05,0.0031439012,0.9994442462921143,1.1204753071069717
1,4.0,213412,1.1292486e-05,0.0021207153,0.9996770620346069,0.5795687902718782
2,6.0,214687,1.8138664e-05,0.0020089245,0.9996856451034546,0.6449703592807055
3,8.0,213927,5.2959895e-05,0.003211719,0.9992671608924866,0.6156953517347574
4,10.0,214412,0.00015098734,0.0038775953,0.9982494711875916,0.8747807703912258
5,12.0,214902,0.0005700264,0.009236925,0.9953404068946838,1.152512338012457
6,14.0,214866,0.0016056434,0.018404098,0.988465428352356,3.322690725326538
